transaction_id,date,region,category,product_name,units_sold,unit_price,inventory_level,promotion,payment_method,revenue,customer_age,return_flag,supplier_delay_days,date_year,date_month,date_quarter,date_day,supplier_delay_days_year,supplier_delay_days_month,supplier_delay_days_quarter,supplier_delay_days_day,year,month
GROC-100000,2025-06-19,East,Dairy,Milk,4,162.2,26.0,1,Cash,648.79,23,0,1970-01-01 00:00:00.000000000,2025,6,2,19,1970,1,1,1,2025,6
GROC-100001,2025-06-07,West,Dairy,Milk,7,109.3,7.0,0,Card,765.09,62,0,1970-01-01 00:00:00.000000000,2025,6,2,7,1970,1,1,1,2025,6
GROC-100002,2025-03-26,East,Dairy,Paneer,12,289.32,59.0,1,Card,3471.81,62,0,1970-01-01 00:00:00.000000009,2025,3,1,26,1970,1,1,1,2025,3
GROC-100003,2024-07-21,East,Vegetables,Onion,2,100.07,38.0,0,Card,200.14,43,0,1970-01-01 00:00:00.000000011,2024,7,3,21,1970,1,1,1,2024,7
GROC-100004,2024-08-13,East,Beverages,Tea,8,84.96,22.0,1,UPI,679.72,59,0,1970-01-01 00:00:00.000000008,2024,8,3,13,1970,1,1,1,2024,8
GROC-100005,2025-06-26,South,Vegetables,Spinach,21,119.97,70.0,1,Cash,2519.35,52,1,1970-01-01 00:00:00.000000000,2025,6,2,26,1970,1,1,1,2025,6
GROC-100006,2025-11-12,South,Snacks,Namkeen,16,133.41,61.0,0,,2134.56,30,0,1970-01-01 00:00:00.000000009,2025,11,4,12,1970,1,1,1,2025,11
GROC-100007,2024-06-11,West,Vegetables,Tomato,16,162.37,47.0,1,Card,2597.94,34,0,1970-01-01 00:00:00.000000006,2024,6,2,11,1970,1,1,1,2024,6
GROC-100008,2024-12-06,North,Fruits,Mango,1,157.54,41.0,0,UPI,157.54,34,0,1970-01-01 00:00:00.000000001,2024,12,4,6,1970,1,1,1,2024,12
GROC-100009,2025-01-31,North,Vegetables,Tomato,21,82.11,58.0,0,Cash,1724.31,32,0,1970-01-01 00:00:00.000000004,2025,1,1,31,1970,1,1,1,2025,1
GROC-100010,2026-03-04,North,Snacks,Candy,12,227.2,52.0,1,Cash,2726.46,61,0,1970-01-01 00:00:00.000000000,2026,3,1,4,1970,1,1,1,2026,3
GROC-100011,2025-09-08,West,Snacks,Chocolate,18,50.64,19.0,0,Card,911.52,35,0,1970-01-01 00:00:00.000000006,2025,9,3,8,1970,1,1,1,2025,9
GROC-100012,2024-06-28,East,Beverages,Coffee,12,65.19,44.0,0,UPI,782.28,67,1,1970-01-01 00:00:00.000000009,2024,6,2,28,1970,1,1,1,2024,6
GROC-100013,2025-04-03,East,Beverages,Tea,5,223.56,39.0,0,Cash,1117.8,69,0,1970-01-01 00:00:00.000000009,2025,4,2,3,1970,1,1,1,2025,4
GROC-100014,2025-04-12,North,Vegetables,Potato,12,177.84,59.0,0,UPI,2134.02,35,0,1970-01-01 00:00:00.000000009,2025,4,2,12,1970,1,1,1,2025,4
GROC-100015,2025-03-01,North,Vegetables,Tomato,10,227.63,55.0,0,UPI,2276.33,55,0,1970-01-01 00:00:00.000000000,2025,3,1,1,1970,1,1,1,2025,3
GROC-100016,2025-01-08,North,Vegetables,Onion,24,206.37,30.0,0,UPI,4952.98,32,1,1970-01-01 00:00:00.000000011,2025,1,1,8,1970,1,1,1,2025,1
GROC-100017,2024-09-22,North,Snacks,Biscuits,17,39.92,60.0,0,Card,678.64,40,0,1970-01-01 00:00:00.000000006,2024,9,3,22,1970,1,1,1,2024,9
GROC-100018,2025-05-29,East,Snacks,Namkeen,1,299.84,39.0,1,Card,299.84,57,1,1970-01-01 00:00:00.000000011,2025,5,2,29,1970,1,1,1,2025,5
GROC-100019,2024-07-04,East,Beverages,Coffee,15,237.74,41.0,0,UPI,3566.1,49,0,1970-01-01 00:00:00.000000005,2024,7,3,4,1970,1,1,1,2024,7
