transaction_id,order_date,product_category,region,units_sold,price_per_unit,revenue
HM_100000,2024-03-04 08:16:59.966763,Bottoms,South America,4,40,160
HM_100001,2025-09-10 08:16:59.966763,Outerwear,Middle East,4,90,360
HM_100002,2024-07-08 08:16:59.966763,Footwear,Middle East,3,70,210
HM_100003,2025-06-28 08:16:59.966763,Accessories,South America,1,15,15
HM_100004,2024-05-01 08:16:59.966763,Tops,South America,4,25,100
HM_100005,2026-03-10 08:16:59.966763,Tops,North America,5,25,125
HM_100006,2025-05-15 08:16:59.966763,Tops,North America,3,25,75
HM_100007,2025-12-04 08:16:59.966763,Outerwear,North America,2,90,180
HM_100008,2024-04-30 08:16:59.966763,Accessories,North America,3,15,45
HM_100009,2024-02-03 08:16:59.966763,Footwear,Europe,3,70,210
HM_100010,2025-12-13 08:16:59.966763,Tops,Europe,5,25,125
HM_100011,2025-12-04 08:16:59.966763,Outerwear,Middle East,3,90,270
HM_100012,2023-12-29 08:16:59.966763,Footwear,Europe,4,70,280
HM_100013,2023-12-09 08:16:59.966763,Bottoms,Europe,4,40,160
HM_100014,2025-07-23 08:16:59.966763,Tops,North America,4,25,100
HM_100015,2024-09-24 08:16:59.966763,Tops,North America,3,25,75
HM_100016,2024-11-28 08:16:59.966763,Bottoms,South America,1,40,40
HM_100017,2025-09-27 08:16:59.966763,Dresses,North America,3,60,180
HM_100018,2025-05-17 08:16:59.966763,Dresses,South America,4,60,240
HM_100019,2026-03-06 08:16:59.966763,Bottoms,South America,1,40,40
HM_100020,2025-02-02 08:16:59.966763,Accessories,Europe,3,15,45
HM_100021,2024-03-18 08:16:59.966763,Tops,North America,3,25,75
HM_100022,2024-03-07 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100023,2026-01-01 08:16:59.966763,Bottoms,North America,3,40,120
HM_100024,2024-07-16 08:16:59.966763,Dresses,Europe,5,60,300
HM_100025,2023-11-29 08:16:59.966763,Footwear,Europe,3,70,210
HM_100026,2024-04-09 08:16:59.966763,Tops,Europe,1,25,25
HM_100027,2025-08-18 08:16:59.966763,Dresses,Middle East,3,60,180
HM_100028,2025-02-05 08:16:59.966763,Accessories,Europe,4,15,60
HM_100029,2024-05-20 08:16:59.966763,Tops,Asia,1,25,25
HM_100030,2026-04-20 08:16:59.966763,Accessories,Asia,2,15,30
HM_100031,2026-02-16 08:16:59.966763,Tops,Asia,2,25,50
HM_100032,2025-05-03 08:16:59.966763,Tops,South America,3,25,75
HM_100033,2025-07-18 08:16:59.966763,Outerwear,Europe,2,90,180
HM_100034,2025-06-17 08:16:59.966763,Outerwear,Asia,5,90,450
HM_100035,2025-10-26 08:16:59.966763,Footwear,South America,5,70,350
HM_100036,2024-02-13 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100037,2025-01-04 08:16:59.966763,Tops,North America,5,25,125
HM_100038,2024-07-01 08:16:59.966763,Accessories,Middle East,1,15,15
HM_100039,2023-11-28 08:16:59.966763,Dresses,Europe,1,60,60
HM_100040,2026-03-04 08:16:59.966763,Tops,Middle East,4,25,100
HM_100041,2024-04-04 08:16:59.966763,Dresses,Middle East,3,60,180
HM_100042,2025-10-15 08:16:59.966763,Tops,North America,3,25,75
HM_100043,2024-01-05 08:16:59.966763,Outerwear,North America,3,90,270
HM_100044,2024-12-07 08:16:59.966763,Bottoms,North America,2,40,80
HM_100045,2024-08-23 08:16:59.966763,Accessories,South America,4,15,60
HM_100046,2024-12-24 08:16:59.966763,Bottoms,Asia,4,40,160
HM_100047,2025-07-24 08:16:59.966763,Dresses,Europe,2,60,120
HM_100048,2025-11-26 08:16:59.966763,Dresses,North America,4,60,240
HM_100049,2025-11-08 08:16:59.966763,Tops,Europe,3,25,75
HM_100050,2024-11-18 08:16:59.966763,Outerwear,Europe,2,90,180
HM_100051,2024-08-15 08:16:59.966763,Footwear,Europe,2,70,140
HM_100052,2024-05-10 08:16:59.966763,Outerwear,North America,1,90,90
HM_100053,2024-06-04 08:16:59.966763,Outerwear,North America,2,90,180
HM_100054,2024-04-01 08:16:59.966763,Accessories,Asia,2,15,30
HM_100055,2024-07-05 08:16:59.966763,Outerwear,North America,3,90,270
HM_100056,2024-06-04 08:16:59.966763,Tops,North America,1,25,25
HM_100057,2025-01-27 08:16:59.966763,Tops,Europe,3,25,75
HM_100058,2024-08-04 08:16:59.966763,Tops,Asia,2,25,50
