transaction_id,date,region,category,product_name,units_sold,cost_price,selling_price,revenue,inventory_level,ordered_stock,promotion,return_count,supplier_delay_days,customer_rating,damaged_stock
DIY-0,2025-07-24,East,Kitchen,Knife Set,4,466.1,775.19,3100.75,260,264,1,5,7.0,2.4,8
DIY-1,2025-04-05,East,Electrical,Bulb,67,721.51,1742.93,116776.19,618,685,0,3,21.0,2.8,9
DIY-2,2023-09-19,North,Home Decor,LED Light,47,910.6,2310.85,108609.93,535,582,1,2,7.0,4.0,3
DIY-3,2023-01-19,South,Stationery,Stapler,94,803.48,2225.86,209230.54,740,834,0,0,18.0,3.3,5
DIY-4,2024-02-28,South,Stationery,Pen Set,38,581.65,1194.59,45394.27,319,357,0,3,23.0,2.9,7
DIY-5,2022-07-11,North,Electrical,Extension Board,17,336.35,1032.13,17546.25,888,905,0,2,22.0,4.5,1
DIY-6,2025-03-17,East,Cleaning,Mop,72,937.54,2161.55,155631.36,521,593,1,4,15.0,2.1,6
DIY-7,2024-02-01,South,Stationery,Pen Set,95,653.48,1955.0,185725.29,511,606,0,0,2.0,4.9,8
DIY-8,2025-05-09,East,Electrical,Wire,39,501.37,983.62,38361.05,638,677,0,1,23.0,4.2,0
DIY-9,2025-09-29,West,Home Decor,Curtains,63,85.66,87.51,5513.05,-1,62,1,1,0.0,2.6,11
DIY-10,2025-02-14,North,Stationery,Notebook,59,78.64,146.61,8649.92,788,847,1,0,4.0,2.5,0
DIY-11,2023-11-07,South,Stationery,Pen Set,8,711.96,778.69,6229.55,369,377,1,0,10.0,2.2,5
DIY-12,2023-07-06,South,Hardware,Screwdriver,97,433.79,979.67,95027.66,688,785,1,1,16.0,3.1,10
DIY-13,2023-04-11,South,Cleaning,Bucket,96,231.7,379.37,36419.16,740,836,1,4,22.0,3.5,11
DIY-14,2024-05-11,West,Kitchen,Knife Set,31,372.97,583.96,18102.9,251,282,0,3,20.0,4.3,4
DIY-15,2023-05-04,East,Cleaning,Bucket,93,536.46,627.0,58311.21,554,647,1,5,23.0,3.7,11
DIY-16,2023-03-23,East,Hardware,Hammer,55,878.81,1633.44,89839.03,224,279,0,2,24.0,3.4,8
DIY-17,2023-01-26,West,Hardware,Drill Bits,30,941.27,1612.59,48377.61,359,389,1,0,14.0,3.1,5
DIY-18,2025-04-16,South,Stationery,Notebook,40,63.05,197.19,7887.7,486,526,0,4,17.0,3.9,9
DIY-19,2025-06-14,West,Hardware,Screwdriver,23,128.67,201.02,4623.56,634,657,1,1,9.0,3.8,3
DIY-20,2024-11-24,South,Home Decor,Plant Pot,55,467.55,615.62,33859.17,932,987,1,3,22.0,,6
DIY-21,2023-05-19,East,Hardware,Tape Measure,61,316.18,805.78,49152.65,865,926,0,3,17.0,3.3,5
DIY-22,2022-10-05,South,Hardware,Hammer,31,262.67,612.01,18972.4,259,290,1,6,16.0,3.5,6
DIY-23,2023-02-13,North,Hardware,Screwdriver,44,971.92,2209.26,97207.47,69,113,1,5,20.0,4.2,1
DIY-24,2025-09-23,West,Stationery,Stapler,22,986.76,2684.99,59069.69,876,898,0,0,19.0,2.8,7
DIY-25,2024-03-24,North,Hardware,Tape Measure,70,419.46,1425.18,99762.57,588,658,0,2,4.0,3.3,11
DIY-26,2023-04-27,North,Stationery,Stapler,89,483.59,846.55,75342.76,742,831,1,6,5.0,,9
DIY-27,2026-03-06,East,Kitchen,Bottle,27,160.59,247.22,6674.93,811,838,0,3,21.0,3.5,10
DIY-28,2026-03-07,South,Home Decor,Wall Frame,2,745.77,1679.24,3358.48,830,832,1,3,22.0,2.9,2
DIY-29,2023-08-20,West,Cleaning,Bucket,88,947.08,1882.19,165633.04,260,348,0,6,15.0,3.6,3
DIY-30,2024-08-29,West,Cleaning,Mop,40,722.46,1147.82,45912.91,227,267,0,7,,2.4,2
DIY-31,2025-02-13,East,Stationery,Pen Set,2,341.73,881.28,1762.56,306,308,0,6,14.0,2.7,0
DIY-32,2025-01-23,West,Hardware,Hammer,42,759.89,988.86,41532.31,453,495,0,5,8.0,4.8,3
DIY-33,2023-09-04,West,Kitchen,Storage Box,31,397.21,667.2,20683.27,960,991,0,3,6.0,2.7,8
DIY-34,2024-11-15,North,Electrical,Wire,89,538.54,1623.15,144460.0,574,663,0,2,8.0,2.5,6
DIY-35,2026-04-04,South,Stationery,Stapler,21,936.49,1009.71,21203.9,799,820,1,4,12.0,3.6,5
DIY-36,2022-06-09,North,Stationery,Notebook,86,260.41,604.74,52007.47,288,374,1,4,0.0,5.0,4
DIY-37,2023-04-29,West,Electrical,Extension Board,46,253.57,778.57,35814.13,504,550,1,1,16.0,2.8,5
DIY-38,2026-02-12,South,Home Decor,Wall Frame,11,462.33,476.81,5244.86,354,365,1,6,1.0,2.1,8
DIY-39,2023-10-16,North,Hardware,Screwdriver,81,221.1,454.99,36854.29,443,524,1,6,20.0,4.5,4
DIY-40,2023-03-01,West,Home Decor,Wall Frame,57,456.44,1564.74,89190.44,819,876,0,4,17.0,4.6,1
DIY-41,2023-07-29,North,Kitchen,Bottle,18,446.96,586.1,10549.8,286,304,0,4,,3.9,2
DIY-42,2025-08-02,East,Hardware,Drill Bits,80,336.47,796.16,63692.9,134,214,1,0,13.0,2.4,8
DIY-43,2023-11-30,South,Stationery,Notebook,13,467.73,780.71,10149.27,513,526,0,4,20.0,,2
DIY-44,2025-01-04,North,Stationery,Notebook,89,966.02,1901.45,169228.92,95,184,1,1,24.0,4.2,11
DIY-45,2023-10-28,West,Home Decor,LED Light,29,172.11,237.36,6883.49,452,481,0,3,11.0,2.4,7
DIY-46,2025-08-21,East,Hardware,Drill Bits,76,89.07,130.8,9941.04,411,487,0,2,14.0,2.3,11
DIY-47,2024-12-27,East,Cleaning,Bucket,60,346.41,766.82,46009.05,630,690,1,7,9.0,2.2,0
DIY-48,2023-08-08,East,Electrical,Battery,61,592.63,1926.43,117512.35,828,889,0,7,16.0,3.1,4
DIY-49,2022-07-04,South,Cleaning,Mop,40,266.56,539.94,21597.68,12,52,1,0,8.0,2.1,10
DIY-50,2022-09-29,North,Home Decor,Plant Pot,56,988.3,2550.04,142802.21,352,408,0,2,2.0,4.3,3
DIY-51,2023-11-06,West,Kitchen,Tray,10,207.02,636.15,6361.54,199,209,1,5,3.0,4.9,7
DIY-52,2025-01-21,West,Electrical,Bulb,60,43.6,68.15,4088.8,479,539,1,1,0.0,5.0,10
DIY-53,2022-12-31,South,Home Decor,Plant Pot,39,242.72,558.83,21794.52,722,761,1,0,11.0,4.6,11
DIY-54,2024-12-24,North,Home Decor,Wall Frame,26,807.36,1790.26,46546.76,194,220,1,2,7.0,2.1,5
DIY-55,2025-09-17,North,Cleaning,Bucket,93,749.63,2236.43,207987.79,319,412,0,5,18.0,3.1,6
DIY-56,2022-10-11,West,Stationery,Pen Set,82,61.58,146.17,11985.91,463,545,1,4,3.0,3.8,6
DIY-57,2024-09-05,North,Home Decor,Curtains,99,341.68,662.74,65611.42,492,591,0,1,20.0,2.6,11
DIY-58,2025-01-04,North,Hardware,Screwdriver,14,593.47,1528.31,21396.37,774,788,1,6,16.0,4.1,8
DIY-59,2024-06-21,South,Hardware,Screwdriver,51,283.94,669.9,34165.11,557,608,0,2,4.0,2.3,0
DIY-60,2025-09-15,South,Cleaning,Mop,74,75.88,251.68,18624.15,265,339,0,7,13.0,3.0,10
DIY-61,2023-09-04,West,Hardware,Screwdriver,80,551.45,1500.36,120028.64,103,183,0,7,20.0,,10
DIY-62,2024-05-17,West,Stationery,Notebook,47,130.01,236.53,11117.07,195,242,1,5,13.0,4.3,2
DIY-63,2024-12-12,East,Electrical,Extension Board,4,542.68,1106.17,4424.7,725,729,1,4,11.0,4.9,11
DIY-64,2023-10-29,West,Electrical,Extension Board,54,298.21,531.72,28712.84,267,321,1,2,19.0,2.5,4
DIY-65,2025-10-17,East,Cleaning,Bucket,84,513.01,1131.39,95036.72,422,506,0,0,24.0,4.5,10
DIY-66,2025-09-18,North,Home Decor,Curtains,49,335.74,567.89,27826.7,831,880,1,0,8.0,,7
DIY-67,2024-06-23,North,Kitchen,Tray,52,831.74,2320.17,120648.82,284,336,1,4,2.0,3.2,7
DIY-68,2026-03-29,East,Home Decor,Wall Frame,14,589.79,1513.26,21185.58,547,561,1,3,5.0,3.8,10
DIY-69,2023-12-24,South,Electrical,Battery,1,155.72,333.1,333.1,556,557,0,7,5.0,4.3,7
DIY-70,2026-03-27,West,Electrical,Wire,75,539.64,1490.69,111801.52,7,82,0,2,17.0,4.7,4
DIY-71,2025-09-05,West,Hardware,Hammer,64,829.06,1567.59,100325.91,504,568,1,7,14.0,3.3,5
DIY-72,2023-08-16,West,Kitchen,Bottle,64,28.72,38.64,2472.84,607,671,1,6,9.0,2.9,10
DIY-73,2022-05-27,East,Stationery,Pen Set,92,904.93,917.8,84437.82,602,694,1,0,2.0,3.0,0
DIY-74,2024-11-11,South,Hardware,Hammer,67,276.83,442.73,29662.92,715,782,0,7,3.0,3.8,7
DIY-75,2024-06-30,North,Kitchen,Tray,23,548.36,1917.19,44095.48,74,97,0,1,17.0,2.4,6
DIY-76,2022-12-26,East,Electrical,Wire,24,914.91,2193.11,52634.76,756,780,0,5,21.0,4.4,9
DIY-77,2026-02-09,West,Electrical,Extension Board,66,787.56,2091.43,138034.31,878,944,0,2,3.0,3.9,1
DIY-78,2023-10-09,South,Stationery,Notebook,79,530.65,715.56,56529.38,200,279,1,3,14.0,4.3,3
DIY-79,2024-05-03,South,Cleaning,Bucket,56,464.1,917.8,51396.75,723,779,0,6,3.0,4.9,4
DIY-80,2023-05-15,South,Home Decor,Plant Pot,71,775.55,976.72,69346.95,327,398,1,3,6.0,4.4,0
DIY-81,2023-02-20,East,Electrical,Bulb,42,469.54,1064.67,44716.12,357,399,0,6,13.0,5.0,4
DIY-82,2024-10-22,North,Stationery,Stapler,34,95.04,291.01,9894.25,263,297,0,5,17.0,2.4,7
DIY-83,2025-10-17,West,Electrical,Extension Board,24,937.08,1561.09,37466.22,276,300,0,0,22.0,4.2,7
DIY-84,2022-04-29,North,Stationery,Pen Set,68,573.01,1724.18,117244.45,571,639,1,6,20.0,2.8,11
DIY-85,2023-02-26,East,Home Decor,Curtains,94,601.45,1800.5,169247.21,805,899,1,4,4.0,,7
DIY-86,2025-01-15,West,Kitchen,Storage Box,23,176.27,347.07,7982.51,922,945,0,1,24.0,3.7,9
DIY-87,2025-05-26,West,Hardware,Hammer,86,936.61,2223.64,191232.65,888,974,1,5,9.0,5.0,0
DIY-88,2024-09-20,North,Electrical,Extension Board,40,741.82,1900.83,76033.22,717,757,1,2,5.0,2.4,0
DIY-89,2023-08-29,North,Hardware,Hammer,78,672.53,860.08,67086.07,657,735,0,6,2.0,3.6,11
DIY-90,2024-08-09,West,Kitchen,Storage Box,44,805.8,1829.45,80495.84,164,208,0,1,8.0,4.9,1
