invoice_id,date,region,category,product_name,units_sold,wholesale_price,retail_price,revenue,inventory_level,damage_units,returned_items,festival_sale,supplier_name,customer_rating
STEEL-0,2025-06-18,Delhi,Bowls,Soup Bowl,53,231.25,477.01,25281.56,402,4,0,0,Mendoza-Myers,4.4
STEEL-1,2024-03-14,Delhi,Forks,Dinner Fork,44,103.42,239.86,10553.82,169,3,1,0,Murray and Sons,3.9
STEEL-2,2024-04-22,Mumbai,Plates,Steel Plate,92,268.74,541.67,49833.19,559,1,1,1,"Holland, Young and Doyle",4.5
STEEL-3,2023-11-03,Pune,Glasses,Tall Glass,18,282.02,439.66,7913.82,404,2,1,1,"Duncan, Kelly and Stevens",2.6
STEEL-4,2026-02-01,Pune,Plates,Thali Plate,72,129.5,257.2,18518.21,184,3,1,1,Wilson PLC,4.1
STEEL-5,2023-10-17,Pune,Forks,Mini Fork,109,289.95,632.38,68929.88,427,4,3,1,"Bailey, Mata and Banks",2.7
STEEL-6,2025-01-29,Ahmedabad,Forks,Dinner Fork,44,155.05,322.41,14185.83,229,5,3,1,Bass-Cole,3.8
STEEL-7,2024-02-19,Hyderabad,Glasses,Juice Glass,15,77.53,120.28,1804.15,359,3,1,1,Walters Ltd,5.0
STEEL-8,2023-12-22,Delhi,Spatulas,BBQ Spatula,31,16.36,27.09,839.88,176,3,1,0,Horton PLC,4.0
STEEL-9,2024-11-24,Pune,Forks,Dinner Fork,27,57.57,106.01,2862.33,179,0,1,0,Weiss-Anderson,4.6
STEEL-10,2024-11-14,Mumbai,Spoons,Tea Spoon,15,71.03,157.73,2365.96,318,4,1,1,"Larson, Gordon and Carpenter",2.8
STEEL-11,2024-06-04,Pune,Glasses,Water Glass,124,187.63,312.86,38794.63,226,1,2,1,Tate and Sons,4.8
STEEL-12,2024-05-20,Pune,Glasses,Water Glass,64,35.3,79.63,5096.3,330,5,3,1,Haas Inc,3.0
STEEL-13,2024-05-02,Delhi,Glasses,Tall Glass,22,249.83,439.39,9666.56,454,4,3,0,"Hurst, Powell and Williams",2.6
STEEL-14,2024-02-15,Ahmedabad,Spatulas,Cooking Spatula,13,217.15,473.84,6159.97,348,0,1,1,Gonzalez and Sons,4.9
STEEL-15,2023-11-24,Ahmedabad,Spoons,Tea Spoon,136,159.5,259.23,35255.18,391,0,1,1,Howell-Castro,3.9
STEEL-16,2023-09-03,Mumbai,Forks,Dinner Fork,120,147.68,209.07,25088.08,569,2,1,1,Rogers-Foster,3.2
STEEL-17,2023-08-04,Ahmedabad,Forks,Fruit Fork,27,142.76,193.38,5221.26,221,2,3,0,Hickman-Cook,4.9
STEEL-18,2025-03-17,Ahmedabad,Glasses,Tall Glass,84,110.31,137.81,11575.65,425,0,1,1,Cooper-Cook,3.2
STEEL-19,2024-07-03,Delhi,Forks,Dinner Fork,74,91.37,214.71,15888.2,181,5,0,0,"Crosby, Cherry and Johnson",
STEEL-20,2024-08-11,Mumbai,Plates,Steel Plate,65,133.66,240.42,15627.5,301,5,0,1,Fields Group,
STEEL-21,2023-12-22,Pune,Spatulas,Flat Spatula,93,22.21,38.89,3617.17,509,3,0,0,"Henry, Kennedy and Murray",3.4
STEEL-22,2024-07-25,Ahmedabad,Forks,Mini Fork,100,196.75,278.21,27820.67,433,5,1,0,"Rojas, Robinson and Holmes",
STEEL-23,2023-10-02,Ahmedabad,Forks,Dinner Fork,66,32.49,52.08,3437.26,377,3,1,0,Glover-Gibson,3.0
STEEL-24,2024-11-02,Pune,Bowls,Serving Bowl,51,214.35,390.29,19904.89,282,3,0,0,Rogers-Wright,3.9
STEEL-25,2023-12-07,Delhi,Bowls,Rice Bowl,14,133.77,179.09,2507.21,460,3,1,1,"Mosley, Church and Wells",4.3
STEEL-26,2025-03-03,Mumbai,Plates,Thali Plate,6,172.53,258.99,1553.95,347,0,1,1,Reynolds Ltd,5.0
STEEL-27,2023-06-27,Pune,Spoons,Tea Spoon,29,246.97,576.5,16718.53,452,1,1,1,Miles Inc,3.4
STEEL-28,2024-01-28,Ahmedabad,Spatulas,Cooking Spatula,17,293.5,636.74,10824.6,89,1,3,0,Johnson-Escobar,2.9
