bill_id,date,region,category,product_name,size,units_sold,base_price,discount_percent,final_price,revenue,inventory_remaining,customer_gender,season,return_flag
ZUD-0,2026-03-17,Pune,Men,Tshirt,M,14,1753.07,15.0,1490.11,20861.53,210,Male,Monsoon,1
ZUD-1,2025-04-14,Pune,Kids,Kids Tshirt,XL,24,1967.86,30.0,1377.5,33060.1,62,Male,Summer,1
ZUD-2,2025-06-18,Mumbai,Kids,Kids Dress,S,21,2095.43,10.0,1885.89,39603.62,229,Male,Monsoon,0
ZUD-3,2026-01-21,Pune,Accessories,Socks,M,2,2219.54,15.0,1886.61,3773.22,207,Male,Monsoon,0
ZUD-4,2026-02-19,Pune,Kids,Kids Shorts,XL,29,1331.65,10.0,1198.48,34756.02,127,Male,Winter,0
ZUD-5,2024-12-17,Mumbai,Men,Tshirt,L,18,2086.11,10.0,1877.5,33795.03,278,Male,Summer,0
ZUD-6,2024-09-29,Delhi,Men,Shirt,XL,26,409.77,30.0,286.84,7457.85,238,Female,Winter,1
ZUD-7,2026-03-06,Mumbai,Accessories,Cap,XL,9,1471.68,20.0,1177.35,10596.13,49,Male,Winter,0
ZUD-8,2025-09-07,Delhi,Accessories,Cap,S,1,353.55,0.0,353.55,353.55,183,Female,Summer,1
ZUD-9,2025-09-09,Pune,Men,Jeans,S,17,2407.78,10.0,2167.0,36839.04,240,Female,Winter,0
ZUD-10,2024-12-14,Mumbai,Men,Shirt,L,5,2027.93,20.0,1622.34,8111.72,111,Male,Summer,0
ZUD-11,2025-11-02,Bangalore,Kids,Kids Tshirt,XL,21,1487.77,15.0,1264.61,26556.72,194,Female,Summer,0
ZUD-12,2024-10-20,Pune,Men,Tshirt,M,11,2809.1,0.0,2809.1,30900.13,43,Female,Monsoon,0
ZUD-13,2024-08-04,Chennai,Women,Jeans,XL,28,791.21,20.0,632.97,17723.17,284,Male,Summer,1
ZUD-14,2025-07-30,Delhi,Women,Skirt,L,17,322.5,15.0,274.12,4660.06,111,Female,Winter,0
ZUD-15,2024-11-25,Mumbai,Accessories,Socks,L,1,1027.41,10.0,924.67,924.67,144,Female,Winter,0
ZUD-16,2025-04-29,Delhi,Accessories,Socks,L,14,983.54,0.0,983.54,13769.56,202,Male,Monsoon,1
ZUD-17,2025-04-02,Mumbai,Accessories,Socks,S,11,2231.59,15.0,1896.85,20865.33,172,Female,Monsoon,0
ZUD-18,2026-01-18,Bangalore,Kids,Kids Tshirt,M,3,1759.52,15.0,1495.59,4486.77,152,Female,Winter,0
ZUD-19,2024-05-12,Mumbai,Kids,Kids Tshirt,M,28,1688.25,,1435.01,40180.38,176,Female,Summer,0
ZUD-20,2025-04-14,Mumbai,Kids,Kids Shorts,M,29,1370.1,15.0,1164.59,33773.05,15,Male,Monsoon,0
ZUD-21,2025-11-12,Pune,Accessories,Socks,L,15,2934.36,20.0,2347.49,35212.32,102,Female,Monsoon,0
ZUD-22,2024-11-29,Bangalore,Kids,Kids Dress,M,26,1832.89,10.0,1649.6,42889.68,116,Male,Winter,0
